CVE,CVSS3,EPSS,EPSS Percentile,Description,Vendor,Product
CVE-2025-14847,7.5,0.68682,0.98568,MongoDB Server contains an improper handling of length parameter inconsistency vulnerability in Zlib compressed protocol headers. This vulnerability may allow a read of uninitialized heap memory by an unauthenticated client.,MongoDB,MongoDB and MongoDB Server
CVE-2023-52163,8.8,0.15047,0.9439,Digiever DS-2105 Pro contains a missing authorization vulnerability which could allow for command injection via time_tzsetup.cgi.,Digiever,DS-2105 Pro
CVE-2025-14733,9.8,0.36326,0.96996,WatchGuard Fireware OS iked process contains an out of bounds write vulnerability in the OS iked process. This vulnerability may allow a remote unauthenticated attacker to execute arbitrary code and affects both the mobile user VPN with IKEv2 and the branch office VPN using IKEv2 when configured with a dynamic gateway peer.,WatchGuard,Firebox
CVE-2025-59374,9.8,0.35959,0.96969,ASUS Live Update contains an embedded malicious code vulnerability client were distributed with unauthorized modifications introduced through a supply chain compromise. The modified builds could cause devices meeting specific targeting conditions to perform unintended actions. The impacted product could be end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue product utilization.,ASUS,Live Update
CVE-2025-40602,6.6,0.02086,0.83619,SonicWall SMA1000 contains a missing authorization vulnerability that could allow for privilege escalation appliance management console (AMC) of affected devices.,SonicWall,SMA1000 appliance
CVE-2025-20393,10.0,0.06766,0.91054,"Cisco Secure Email Gateway, Secure Email, AsyncOS Software, and Web Manager appliances contains an improper input validation vulnerability that allows threat actors to execute arbitrary commands with root privileges on the underlying operating system of an affected appliance.",Cisco,Multiple Products
CVE-2025-59718,9.8,0.05281,0.89741,"Fortinet FortiOS, FortiSwitchMaster, FortiProxy, and FortiWeb contain an improper verification of cryptographic signature vulnerability that may allow an unauthenticated attacker to bypass the FortiCloud SSO login authentication via a crafted SAML message. Please be aware that CVE-2025-59719 pertains to the same problem and is mentioned in the same vendor advisory. Ensure to apply all patches mentioned in the advisory.",Fortinet,Multiple Products
CVE-2025-14611,9.8,0.37829,0.97096,Gladinet CentreStack and TrioFox contain a hardcoded cryptographic keys vulnerability for their implementation of the AES cryptoscheme. This vulnerability degrades security for public exposed endpoints that may make use of it and may offer arbitrary local file inclusion when provided a specially crafted request without authentication.,Gladinet,CentreStack and Triofox
CVE-2025-43529,8.8,0.00045,0.13846,"Apple iOS, iPadOS, macOS, and other Apple products contain a use-after-free vulnerability in WebKit. Processing maliciously crafted web content may lead to memory corruption. This vulnerability could impact HTML parsers that use WebKit, including but not limited to Apple Safari and non-Apple products which rely on WebKit for HTML processing.",Apple,Multiple Products
CVE-2018-4063,8.8,0.01087,0.77527,"Sierra Wireless AirLink ALEOS contains an unrestricted upload of file with dangerous type vulnerability. A specially crafted HTTP request can upload a file, resulting in executable code being uploaded, and routable, to the webserver. An attacker can make an authenticated HTTP request to trigger this vulnerability. The impacted product could be end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue product utilization.",Sierra Wireless,AirLink ALEOS
CVE-2025-14174,8.8,0.00409,0.60819,"Google Chromium contains an out of bounds memory access vulnerability in ANGLE that could allow a remote attacker to perform out of bounds memory access via a crafted HTML page. This vulnerability could affect multiple web browsers that utilize Chromium, including, but not limited to, Google Chrome, Microsoft Edge, and Opera.",Google,Chromium
CVE-2025-58360,8.2,0.84238,0.9929,OSGeo GeoServer contains an improper restriction of XML external entity reference vulnerability that occurs when the application accepts XML input through a specific endpoint /geoserver/wms operation GetMap and could allow an attacker to define external entities within the XML request.,OSGeo,GeoServer
CVE-2025-6218,,0.08316,0.92032,RARLAB WinRAR contains a path traversal vulnerability allowing an attacker to execute code in the context of the current user.,RARLAB,WinRAR
CVE-2025-62221,7.8,0.02886,0.85958,Microsoft Windows Cloud Files Mini Filter Driver contains a use after free vulnerability that can allow an authorized attacker to elevate privileges locally.,Microsoft,Windows
CVE-2022-37055,9.8,0.70632,0.9865,"D-Link Routers contains a buffer overflow vulnerability that has a high impact on confidentiality, integrity, and availability. The impacted products could be end-of-life (EoL) and/or end-of-service (EoS). Users should discontinue product utilization.",D-Link,Routers
CVE-2025-66644,7.2,0.03099,0.86459,Array Networks ArrayOS AG contains an OS command injection vulnerability that could allow an attacker to execute arbitrary commands.,Array Networks ,ArrayOS AG
CVE-2025-55182,10.0,0.47368,0.97599,"Meta React Server Components contains a remote code execution vulnerability that could allow unauthenticated remote code execution by exploiting a flaw in how React decodes payloads sent to React Server Function endpoints. Please note CVE-2025-66478 has been rejected, but it is associated with CVE-2025- 55182.",Meta,React Server Components
CVE-2021-26828,8.8,0.8012,0.99084,OpenPLC ScadaBR contains an unrestricted upload of file with dangerous type vulnerability that allows remote authenticated users to upload and execute arbitrary JSP files via view_edit.shtm.,OpenPLC,ScadaBR
CVE-2025-48633,5.5,0.00164,0.38102,Android Framework contains an unspecified vulnerability that allows for information disclosure.,Android,Framework
CVE-2025-48572,7.8,0.00259,0.49177,Android Framework contains an unspecified vulnerability that allows for privilege escalation.,Android,Framework
CVE-2021-26829,5.4,0.17729,0.94934,OpenPLC ScadaBR contains a cross-site scripting vulnerability via system_settings.shtm.,OpenPLC,ScadaBR
CVE-2025-61757,9.8,0.8124,0.9914,"Oracle Fusion Middleware contains a missing authentication for critical function vulnerability, allowing unauthenticated remote attackers to take over Identity Manager.",Oracle,Fusion Middleware
CVE-2025-13223,8.8,0.01083,0.77492,Google Chromium V8 contains a type confusion vulnerability that allows for heap corruption.,Google,Chromium V8
CVE-2025-58034,7.2,0.55775,0.98007,Fortinet FortiWeb contains an OS command Injection vulnerability that may allow an authenticated attacker to execute unauthorized code on the underlying system via crafted HTTP requests or CLI commands.,Fortinet,FortiWeb
CVE-2025-64446,9.8,0.87946,0.99462,Fortinet FortiWeb contains a relative path traversal vulnerability that may allow an unauthenticated attacker to execute administrative commands on the system via crafted HTTP or HTTPS requests.,Fortinet,FortiWeb
CVE-2025-12480,9.1,0.78352,0.98992,Gladinet Triofox contains an improper access control vulnerability that allows access to initial setup pages even after setup is complete.,Gladinet,Triofox
CVE-2025-62215,7.0,0.00822,0.74023,Microsoft Windows Kernel contains a race condition vulnerability that allows a local attacker with low-level privileges to escalate privileges. Successful exploitation of this vulnerability could enable the attacker to gain SYSTEM-level access.,Microsoft,Windows
CVE-2025-9242,9.8,0.63322,0.98341,WatchGuard Firebox contains an out-of-bounds write vulnerability in the OS iked process that may allow a remote unauthenticated attacker to execute arbitrary code.,WatchGuard,Firebox
CVE-2025-21042,8.8,0.03087,0.8644,Samsung mobile devices contain an out-of-bounds write vulnerability in libimagecodec.quram.so. This vulnerability could allow remote attackers to execute arbitrary code.,Samsung,Mobile Devices
CVE-2025-48703,9.0,0.60904,0.98238,CWP Control Web Panel (formerly CentOS Web Panel) contains an OS command Injection vulnerability that allows unauthenticated remote code execution via shell metacharacters in the t_total parameter in a filemanager changePerm request. A valid non-root username must be known.,CWP,Control Web Panel
CVE-2025-11371,7.5,0.66002,0.98459,Gladinet CentreStack and Triofox contains a files or directories accessible to external parties vulnerability that allows unintended disclosure of system files.,Gladinet,CentreStack and Triofox
CVE-2025-41244,7.8,0.00915,0.75499,Broadcom VMware Aria Operations and VMware Tools contain a privilege defined with unsafe actions vulnerability. A malicious local actor with non-administrative privileges having access to a VM with VMware Tools installed and managed by Aria Operations with SDMP enabled may exploit this vulnerability to escalate privileges to root on the same VM.,Broadcom,VMware Aria Operations and VMware Tools
CVE-2025-24893,9.8,0.94178,0.99914,XWiki Platform contains an eval injection vulnerability that could allow any guest to perform arbitrary remote code execution through a request to SolrSearch.,XWiki,Platform
CVE-2025-6204,8.0,0.07268,0.91399,Dassault Systèmes DELMIA Apriso contains a code injection vulnerability that could allow an attacker to execute arbitrary code.,Dassault Systèmes,DELMIA Apriso
CVE-2025-6205,9.1,0.63215,0.98336,Dassault Systèmes DELMIA Apriso contains a missing authorization vulnerability that could allow an attacker to gain privileged access to the application.,Dassault Systèmes,DELMIA Apriso
CVE-2025-54236,9.1,0.59268,0.98167,Adobe Commerce and Magento Open Source contain an improper input validation vulnerability that could allow an attacker to take over customer accounts through the Commerce REST API.,Adobe,Commerce and Magento
CVE-2025-59287,9.8,0.77146,0.98936,Microsoft Windows Server Update Service (WSUS) contains a deserialization of untrusted data vulnerability that allows for remote code execution.,Microsoft,Windows
CVE-2025-61932,,0.08676,0.92231,Motex LANSCOPE Endpoint Manager contains an improper verification of source of a communication channel vulnerability allowing an attacker to execute arbitrary code by sending specially crafted packets.,Motex,LANSCOPE Endpoint Manager
